DATE,TIME,SYMBOL,DIRECTION,ENTRY_PRICE,PNL,RESULT
20251201,15:34:26,NQ,LONG,25289.25,-180.0,LOSS
20251201,15:34:54,NQ,LONG,25280.88,352.3999999999796,WIN
20251201,15:40:24,NQ,LONG,25260.0,-175.0,LOSS
20251201,15:40:44,NQ,LONG,25257.75,-175.0,LOSS
20251201,15:39:41,ES,SHORT,6823.88,444.00000000000546,WIN
20251201,15:41:46,NQ,LONG,25250.75,-175.0,LOSS
20251201,15:42:29,NQ,LONG,25238.38,-177.60000000002037,LOSS
20251201,15:45:16,NQ,LONG,25248.63,352.3999999999796,WIN
20251201,15:46:01,ES,SHORT,6822.63,-143.49999999999454,LOSS
20251201,15:49:01,NQ,LONG,25301.25,-175.0,LOSS
20251201,15:49:05,ES,LONG,6827.63,205.99999999999454,WIN
20251201,15:52:30,ES,LONG,6829.38,193.49999999999454,WIN
20251201,16:06:19,ES,SHORT,6835.13,-143.49999999999454,LOSS
20251201,16:09:55,ES,LONG,6835.63,55.99999999999454,WIN
20251201,16:53:51,ES,LONG,6839.63,55.99999999999454,WIN
20251201,17:13:11,ES,LONG,6834.38,-256.50000000000546,LOSS
20251201,17:17:32,ES,LONG,6827.13,55.99999999999454,WIN
20251201,17:19:34,ES,LONG,6832.13,55.99999999999454,WIN
20251201,17:22:20,ES,SHORT,6835.63,44.00000000000546,WIN
20251201,17:22:41,NQ,LONG,25376.5,-175.0,LOSS
20251201,17:25:12,NQ,LONG,25375.25,10.0,WIN
20251201,17:25:08,ES,LONG,6834.63,105.99999999999454,WIN
20251201,17:27:38,NQ,LONG,25380.25,-55.0,LOSS
20251201,17:29:45,ES,SHORT,6835.63,-118.49999999999454,LOSS
20251201,17:29:43,NQ,LONG,25379.88,222.39999999997963,WIN
20251201,17:32:44,NQ,LONG,25393.75,-77.39999999997963,LOSS
20251201,17:34:05,ES,SHORT,6837.88,-5.999999999994543,LOSS
20251201,17:34:44,NQ,SHORT,25390.5,-175.0,LOSS
20251201,17:40:03,NQ,LONG,25394.0,-60.0,LOSS
20251201,17:40:21,ES,LONG,6839.38,418.49999999999454,WIN
20251201,17:51:59,NQ,SHORT,25447.75,1070.0,WIN
20251201,17:46:17,ES,SHORT,6848.13,19.000000000005457,WIN
20251201,18:01:14,NQ,SHORT,25448.75,195.0,WIN
20251201,18:04:38,NQ,LONG,25450.5,20.0,WIN
20251201,18:04:58,ES,SHORT,6847.63,-143.49999999999454,LOSS
20251201,18:07:37,ES,SHORT,6849.88,-30.999999999994543,LOSS
20251201,18:09:15,NQ,LONG,25452.25,-55.0,LOSS
20251201,18:13:10,NQ,LONG,25452.25,-55.0,LOSS
20251201,18:10:09,ES,SHORT,6847.63,331.50000000000546,WIN
20251201,18:23:02,NQ,SHORT,25448.25,175.0,WIN
20251201,18:24:41,ES,SHORT,6841.88,-18.499999999994543,LOSS
20251201,18:26:29,NQ,SHORT,25448.25,-45.0,LOSS
20251201,18:28:50,NQ,SHORT,25449.75,-175.0,LOSS
20251201,18:32:20,NQ,LONG,25452.38,-57.60000000002037,LOSS
20251201,18:35:08,NQ,LONG,25452.5,135.0,WIN
20251201,18:39:15,NQ,LONG,25452.5,-60.0,LOSS
20251201,18:26:43,ES,SHORT,6844.13,-255.99999999999454,LOSS
20251201,18:43:43,ES,SHORT,6849.13,-5.999999999994543,LOSS
20251201,18:45:44,ES,LONG,6852.38,-144.00000000000546,LOSS
20251201,18:56:40,NQ,LONG,25452.5,160.0,WIN
20251201,18:52:13,ES,SHORT,6847.38,-255.99999999999454,LOSS
20251201,19:15:13,ES,LONG,6851.63,-106.50000000000546,LOSS
20251201,20:05:38,NQ,LONG,25451.5,-40.0,LOSS
20251201,19:20:27,ES,LONG,6850.88,-256.50000000000546,LOSS
20251201,20:07:50,NQ,LONG,25452.0,-55.0,LOSS
20251201,20:09:57,NQ,SHORT,25448.5,-40.0,LOSS
20251201,20:14:08,NQ,SHORT,25448.75,350.0,WIN
20251201,20:08:05,ES,SHORT,6846.13,294.00000000000546,WIN
20251201,20:23:03,NQ,SHORT,25415.0,35.0,WIN
20251201,20:21:47,ES,LONG,6837.38,-256.50000000000546,LOSS
20251201,20:27:02,NQ,LONG,25393.5,350.0,WIN
20251201,20:29:40,NQ,LONG,25393.75,-55.0,LOSS
20251201,20:27:25,ES,SHORT,6835.13,444.00000000000546,WIN
20251201,20:33:03,ES,LONG,6825.38,-19.000000000005457,LOSS
20251201,20:35:07,NQ,SHORT,25390.38,-182.39999999997963,LOSS
20251201,20:38:49,NQ,LONG,25394.0,-60.0,LOSS
20251201,20:41:49,NQ,LONG,25394.0,-60.0,LOSS
20251201,20:43:52,NQ,LONG,25393.75,-55.0,LOSS
20251201,20:37:10,ES,SHORT,6834.88,269.00000000000546,WIN
20251201,20:48:15,ES,LONG,6830.38,-144.00000000000546,LOSS
20251201,20:47:46,NQ,SHORT,25389.75,240.0,WIN
20251201,20:51:15,ES,LONG,6826.63,68.49999999999454,WIN
20251201,20:53:54,NQ,SHORT,25389.38,-57.39999999997963,LOSS
20251201,21:04:16,NQ,SHORT,25389.25,-70.0,LOSS
20251201,21:07:46,NQ,SHORT,25389.75,-50.0,LOSS
20251201,21:12:32,NQ,SHORT,25412.5,487.3999999999796,WIN
20251201,20:53:16,ES,LONG,6828.63,255.99999999999454,WIN
20251201,21:17:49,NQ,LONG,25393.75,-55.0,LOSS
20251201,21:16:01,ES,SHORT,6834.88,306.50000000000546,WIN
20251201,21:20:03,NQ,LONG,25392.25,20.0,WIN
20251201,21:24:54,NQ,SHORT,25392.25,5.0,WIN
20251201,21:27:32,NQ,LONG,25394.0,-60.0,LOSS
20251201,21:22:44,ES,LONG,6830.13,30.999999999994543,WIN
20251202,02:31:37,NQ,SHORT,25421.38,27.600000000020373,WIN
20251202,02:33:40,NQ,LONG,25424.75,5.0,WIN
20251202,02:37:36,NQ,LONG,25424.63,0.0,LOSS
20251202,02:40:35,NQ,LONG,25424.13,10.0,WIN
20251202,02:13:37,ES,LONG,6830.13,-131.50000000000546,LOSS
20251202,03:00:19,NQ,SHORT,25401.38,12.600000000020373,WIN
20251202,03:02:41,NQ,SHORT,25399.5,-175.0,LOSS
20251202,03:06:35,NQ,SHORT,25400.25,-10.0,LOSS
20251202,03:08:38,NQ,SHORT,25400.88,2.6000000000203727,WIN
20251202,03:09:19,ES,LONG,6825.0,0.0,LOSS
20251202,03:09:41,NQ,SHORT,25397.63,107.60000000002037,WIN
20251202,08:31:46,NQ,LONG,25377.38,-67.60000000002037,LOSS
20251202,08:34:23,NQ,LONG,25375.75,-175.0,LOSS
20251202,09:03:43,NQ,SHORT,25349.13,-65.0,LOSS
20251202,09:05:45,NQ,LONG,25345.13,142.39999999997963,WIN
20251202,08:30:03,ES,SHORT,6824.13,444.00000000000546,WIN
20251202,09:08:10,ES,SHORT,6815.13,69.00000000000546,WIN
20251202,09:10:32,ES,SHORT,6813.38,-12.5,LOSS
20251202,09:11:04,NQ,SHORT,25342.75,-175.0,LOSS
20251202,09:17:05,NQ,LONG,25352.38,-62.60000000002037,LOSS
20251202,09:22:07,NQ,LONG,25352.38,-62.60000000002037,LOSS
20251202,09:39:16,NQ,LONG,25375.25,-60.0,LOSS
20251202,09:39:12,ES,SHORT,6822.5,-150.0,LOSS
20251202,09:46:14,NQ,SHORT,25398.38,472.6000000000204,WIN
20251202,09:48:07,ES,LONG,6827.63,-6.500000000005457,LOSS
20251202,09:50:11,ES,LONG,6827.63,0.0,LOSS
20251202,09:52:15,ES,LONG,6826.75,0.0,LOSS
20251202,09:54:19,ES,LONG,6827.0,-12.5,LOSS
20251202,09:50:56,NQ,SHORT,25402.38,-182.39999999997963,LOSS
20251202,09:56:22,ES,LONG,6828.13,80.99999999999454,WIN
20251202,09:58:10,NQ,LONG,25423.63,17.399999999979627,WIN
20251202,10:00:20,NQ,LONG,25423.38,22.399999999979627,WIN
20251202,10:02:32,NQ,LONG,25423.13,27.399999999979627,WIN
20251202,10:04:40,NQ,LONG,25426.63,232.39999999997963,WIN
20251202,09:59:33,ES,LONG,6829.88,255.99999999999454,WIN
20251202,10:35:25,NQ,LONG,25427.63,-57.60000000002037,LOSS
20251202,10:48:11,NQ,LONG,25431.25,20.0,WIN
20251202,10:53:20,ES,SHORT,6836.13,-43.49999999999454,LOSS
20251202,15:56:53,ES,SHORT,6843.13,-255.99999999999454,LOSS
20251202,15:58:11,NQ,SHORT,25598.38,17.600000000020373,WIN
20251202,16:00:37,NQ,LONG,25601.5,350.0,WIN
20251202,16:00:07,ES,SHORT,6848.38,-255.99999999999454,LOSS
20251202,16:10:33,ES,LONG,6851.88,30.999999999994543,WIN
20251202,16:26:01,ES,LONG,6852.13,-256.50000000000546,LOSS
20251202,16:28:20,NQ,LONG,25601.75,-175.0,LOSS
20251202,16:30:40,ES,SHORT,6841.88,-300.0,LOSS
20251202,16:40:51,ES,SHORT,6844.38,-130.99999999999454,LOSS
20251202,16:41:26,NQ,SHORT,25597.5,-175.0,LOSS
20251202,16:43:34,ES,LONG,6852.38,-325.0,LOSS
20251202,16:50:02,ES,SHORT,6859.13,-105.99999999999454,LOSS
20251202,17:22:41,NQ,LONG,25490.13,187.39999999997963,WIN
20251202,17:23:21,ES,LONG,6830.38,-306.50000000000546,LOSS
20251202,17:27:02,ES,LONG,6826.13,-256.50000000000546,LOSS
20251202,17:38:54,NQ,SHORT,25498.13,-182.39999999997963,LOSS
20251202,17:36:03,ES,LONG,6829.63,268.49999999999454,WIN
20251202,17:42:09,NQ,LONG,25507.13,-127.60000000002037,LOSS
20251202,17:47:07,NQ,LONG,25507.25,-125.0,LOSS
20251202,17:50:14,NQ,SHORT,25499.0,-170.0,LOSS
20251202,17:53:13,NQ,SHORT,25513.25,180.0,WIN
20251202,17:44:22,ES,LONG,6830.88,30.999999999994543,WIN
20251202,17:58:47,NQ,LONG,25506.5,250.0,WIN
20251202,17:59:49,ES,LONG,6829.63,355.99999999999454,WIN
20251202,18:10:11,NQ,SHORT,25523.88,-127.39999999997963,LOSS
20251202,18:09:10,ES,LONG,6830.88,505.99999999999454,WIN
20251202,18:19:48,NQ,SHORT,25597.88,1435.0,WIN
20251202,18:26:37,NQ,SHORT,25599.13,-127.39999999997963,LOSS
20251202,18:39:07,NQ,SHORT,25599.75,20.0,WIN
20251202,18:44:03,NQ,SHORT,25599.75,-125.0,LOSS
20251202,18:48:58,NQ,SHORT,25598.5,-125.0,LOSS
20251202,18:20:20,ES,SHORT,6847.63,506.50000000000546,WIN
20251202,18:56:35,ES,LONG,6830.88,-331.50000000000546,LOSS
20251202,19:00:10,NQ,LONG,25507.25,1890.0,WIN
20251202,19:12:10,ES,LONG,6830.88,393.49999999999454,WIN
20251202,19:34:30,ES,LONG,6830.88,255.99999999999454,WIN
20251202,20:04:33,NQ,SHORT,25598.75,-125.0,LOSS
20251202,20:11:05,NQ,SHORT,25597.75,-125.0,LOSS
20251202,20:19:13,NQ,SHORT,25599.25,250.0,WIN
20251202,20:31:10,NQ,SHORT,25598.5,-125.0,LOSS
20251202,20:41:51,NQ,SHORT,25597.75,250.0,WIN
20251202,20:48:23,NQ,SHORT,25598.63,-127.39999999997963,LOSS
20251202,20:51:22,ES,SHORT,6847.63,-218.49999999999454,LOSS
20251202,21:39:02,ES,SHORT,6848.38,-193.49999999999454,LOSS
20251202,21:49:24,ES,SHORT,6847.88,281.50000000000546,WIN
20251202,22:02:39,NQ,SHORT,25597.63,-127.39999999997963,LOSS
20251202,22:09:05,NQ,SHORT,25598.63,17.600000000020373,WIN
20251202,22:32:18,NQ,SHORT,25598.13,127.60000000002037,WIN
20251203,16:30:03,NQ,LONG,25520.88,152.39999999997963,WIN
20251203,16:25:23,ES,LONG,6840.38,368.49999999999454,WIN
20251203,16:38:11,NQ,SHORT,25599.13,257.6000000000204,WIN
20251203,16:44:28,NQ,SHORT,25598.5,250.0,WIN
20251204,09:01:04,ES,SHORT,6861.5,250.0,WIN
20251204,09:29:17,NQ,SHORT,25620.63,-127.39999999997963,LOSS
20251204,10:17:46,NQ,SHORT,25620.38,-127.39999999997963,LOSS
20251204,09:35:47,ES,SHORT,6859.88,-293.49999999999454,LOSS
20251204,15:50:48,ES,SHORT,6859.63,-250.0,LOSS
20251204,15:55:17,NQ,SHORT,25592.13,-675.0,LOSS
20251204,15:54:04,ES,LONG,6853.63,280.99999999999454,WIN
20251204,16:05:52,NQ,SHORT,25581.0,-327.6000000000204,LOSS
20251204,16:09:00,NQ,SHORT,25582.25,-125.0,LOSS
20251204,15:58:39,ES,LONG,6854.0,-237.5,LOSS
20251204,16:17:06,NQ,SHORT,25580.38,-127.39999999997963,LOSS
20251204,16:15:25,ES,LONG,6852.13,280.99999999999454,WIN
20251204,16:21:31,NQ,SHORT,25588.75,20.0,WIN
20251204,16:20:03,ES,LONG,6855.63,268.49999999999454,WIN
20251204,16:25:07,ES,LONG,6852.38,-94.00000000000546,LOSS
20251204,16:26:05,NQ,SHORT,25530.5,-125.0,LOSS
20251204,16:28:55,NQ,SHORT,25580.88,937.6000000000204,WIN
20251204,16:27:30,ES,LONG,6851.63,280.99999999999454,WIN
20251204,16:31:12,NQ,SHORT,25589.5,-125.0,LOSS
20251204,16:34:02,NQ,SHORT,25594.75,-125.0,LOSS
20251204,16:36:37,NQ,SHORT,25599.0,-125.0,LOSS
20251204,16:48:07,NQ,SHORT,25599.25,-125.0,LOSS
20251204,16:51:09,NQ,SHORT,25589.38,12.600000000020373,WIN
20251204,16:53:44,NQ,SHORT,25585.88,-127.39999999997963,LOSS
20251204,16:57:26,NQ,SHORT,25581.13,252.60000000002037,WIN
20251204,16:32:32,ES,SHORT,6860.63,506.50000000000546,WIN
20251204,20:01:20,NQ,SHORT,25599.63,-132.39999999997963,LOSS
20251204,20:09:10,NQ,SHORT,25599.25,-125.0,LOSS
20251204,20:05:04,ES,SHORT,6862.63,281.50000000000546,WIN
20251204,21:04:43,ES,LONG,6852.38,-256.50000000000546,LOSS
20251204,21:09:20,ES,SHORT,6849.88,-193.49999999999454,LOSS
20251204,21:18:38,ES,LONG,6851.88,505.99999999999454,WIN
20251205,04:13:27,NQ,SHORT,25687.0,-125.0,LOSS
20251205,08:11:11,NQ,SHORT,25712.0,-125.0,LOSS
20251205,08:22:12,NQ,SHORT,25711.88,-137.39999999997963,LOSS
20251205,10:41:05,NQ,SHORT,25709.88,-127.39999999997963,LOSS
20251205,16:46:46,ES,SHORT,6897.63,-255.99999999999454,LOSS
20251205,20:00:08,NQ,SHORT,25727.75,250.0,WIN
20251205,20:08:36,NQ,SHORT,25727.25,-125.0,LOSS
20251205,20:20:43,NQ,SHORT,25726.75,250.0,WIN
20251205,20:31:04,NQ,SHORT,25720.0,120.0,WIN
20251205,20:40:04,NQ,SHORT,25725.75,260.0,WIN
20251205,20:48:46,NQ,SHORT,25710.88,-127.39999999997963,LOSS
